material_id,common_name,uns_number,aisi_grade,material_class,condition,yield_strength_MPa,ultimate_tensile_strength_MPa,elongation_percent,hardness_HB,hardness_shore_d,fatigue_limit_MPa,elastic_modulus_GPa,density_kg_m3,max_service_temp_C,min_service_temp_C,max_continuous_use_temp_C,corrosion_seawater,corrosion_acidic,corrosion_alkaline,corrosion_atmospheric,corrosion_high_temp,chemical_resistance_solvents,chemical_resistance_acids,chemical_resistance_alkalis,chemical_resistance_fuels,weldability,weldability_notes,joining_method,machinability_index,flammability,water_absorption_percent,uv_resistance,cost_class,approx_cost_usd_per_kg,availability,stock_forms,fatigue_rating,typical_applications,key_warnings,sources,description_text,stress_table_id
kag_8c9be76e4178,Steel SAE 1030,NOT_FOUND,NOT_FOUND,carbon_steel_medium,normalized,345,517,32,149,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1030 is a carbon steel medium (ANSI standard). Ultimate tensile strength 517 MPa, yield strength 345 MPa. Also elongation 32%, Brinell hardness 149 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: normalized. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_39e235137dd7,Steel SAE 1030,NOT_FOUND,NOT_FOUND,carbon_steel_medium,annealed,341,464,31,126,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1030 is a carbon steel medium (ANSI standard). Ultimate tensile strength 464 MPa, yield strength 341 MPa. Also elongation 31%, Brinell hardness 126 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: annealed. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_436484f73501,Steel SAE 1030,NOT_FOUND,NOT_FOUND,carbon_steel_medium,tempered_at_400_F,648,848,17,495,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1030 is a carbon steel medium (ANSI standard). Ultimate tensile strength 848 MPa, yield strength 648 MPa. Also elongation 17%, Brinell hardness 495 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: tempered at 400 F. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_65bf7efeeae2,Steel SAE 1040,NOT_FOUND,NOT_FOUND,carbon_steel_medium,as-rolled,414,621,25,201,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1040 is a carbon steel medium (ANSI standard). Ultimate tensile strength 621 MPa, yield strength 414 MPa. Also elongation 25%, Brinell hardness 201 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: as-rolled. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_e9134c5fcb8c,Steel SAE 1040,NOT_FOUND,NOT_FOUND,carbon_steel_medium,normalized,374,590,28,170,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1040 is a carbon steel medium (ANSI standard). Ultimate tensile strength 590 MPa, yield strength 374 MPa. Also elongation 28%, Brinell hardness 170 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: normalized. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_ceefec39d52c,Steel SAE 1040,NOT_FOUND,NOT_FOUND,carbon_steel_medium,annealed,353,519,30,149,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1040 is a carbon steel medium (ANSI standard). Ultimate tensile strength 519 MPa, yield strength 353 MPa. Also elongation 30%, Brinell hardness 149 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: annealed. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_c3f57a340499,Steel SAE 1040,NOT_FOUND,NOT_FOUND,carbon_steel_medium,tempered_at_400_F,593,779,19,262,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1040 is a carbon steel medium (ANSI standard). Ultimate tensile strength 779 MPa, yield strength 593 MPa. Also elongation 19%, Brinell hardness 262 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: tempered at 400 F. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_6bb34c63b607,Steel SAE 1050,NOT_FOUND,NOT_FOUND,carbon_steel_medium,as-rolled,414,724,20,229,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1050 is a carbon steel medium (ANSI standard). Ultimate tensile strength 724 MPa, yield strength 414 MPa. Also elongation 20%, Brinell hardness 229 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: as-rolled. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_5d7646bb490a,Steel SAE 1050,NOT_FOUND,NOT_FOUND,carbon_steel_medium,normalized,427,748,20,217,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1050 is a carbon steel medium (ANSI standard). Ultimate tensile strength 748 MPa, yield strength 427 MPa. Also elongation 20%, Brinell hardness 217 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: normalized. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_4dd78b764534,Steel SAE 1050,NOT_FOUND,NOT_FOUND,carbon_steel_medium,annealed,365,636,23.7,187,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1050 is a carbon steel medium (ANSI standard). Ultimate tensile strength 636 MPa, yield strength 365 MPa. Also elongation 23.7%, Brinell hardness 187 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: annealed. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_60f13c35666c,Steel SAE 1050,NOT_FOUND,NOT_FOUND,carbon_steel_medium,tempered_at_600_F,724,979,14,321,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1050 is a carbon steel medium (ANSI standard). Ultimate tensile strength 979 MPa, yield strength 724 MPa. Also elongation 14%, Brinell hardness 321 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: tempered at 600 F. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_ec7b0b893404,Steel SAE 1060,NOT_FOUND,NOT_FOUND,carbon_steel_high,as-rolled,483,814,17,241,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1060 is a carbon steel high (ANSI standard). Ultimate tensile strength 814 MPa, yield strength 483 MPa. Also elongation 17%, Brinell hardness 241 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: as-rolled. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_edf9bfb1e0d1,Steel SAE 1060,NOT_FOUND,NOT_FOUND,carbon_steel_high,normalized,421,776,18,229,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1060 is a carbon steel high (ANSI standard). Ultimate tensile strength 776 MPa, yield strength 421 MPa. Also elongation 18%, Brinell hardness 229 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: normalized. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_2a8b4a39aa16,Steel SAE 1060,NOT_FOUND,NOT_FOUND,carbon_steel_high,annealed,372,626,22.5,179,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1060 is a carbon steel high (ANSI standard). Ultimate tensile strength 626 MPa, yield strength 372 MPa. Also elongation 22.5%, Brinell hardness 179 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: annealed. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_51bb6c686307,Steel SAE 1060,NOT_FOUND,NOT_FOUND,carbon_steel_high,tempered_at_600_F,779,1103,13,321,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1060 is a carbon steel high (ANSI standard). Ultimate tensile strength 1103 MPa, yield strength 779 MPa. Also elongation 13%, Brinell hardness 321 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: tempered at 600 F. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_677dea95360f,Steel SAE 1080,NOT_FOUND,NOT_FOUND,carbon_steel_high,as-rolled,586,965,12,293,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1080 is a carbon steel high (ANSI standard). Ultimate tensile strength 965 MPa, yield strength 586 MPa. Also elongation 12%, Brinell hardness 293 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: as-rolled. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
kag_e675a2f2e21e,Steel SAE 1080,NOT_FOUND,NOT_FOUND,carbon_steel_high,normalized,524,1010,11,293,NOT_FOUND,NOT_FOUND,207.0,7860,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Kaggle mechanical properties dataset (ANSI),"Steel SAE 1080 is a carbon steel high (ANSI standard). Ultimate tensile strength 1010 MPa, yield strength 524 MPa. Also elongation 11%, Brinell hardness 293 HB, elastic modulus 207.0 GPa, density 7860 kg/m3. Condition: normalized. Mechanical property data only — no corrosion, cost, or service-temperature data is available for this entry.",
