material_id,common_name,uns_number,aisi_grade,material_class,condition,yield_strength_MPa,ultimate_tensile_strength_MPa,elongation_percent,hardness_HB,hardness_shore_d,fatigue_limit_MPa,elastic_modulus_GPa,density_kg_m3,max_service_temp_C,min_service_temp_C,max_continuous_use_temp_C,corrosion_seawater,corrosion_acidic,corrosion_alkaline,corrosion_atmospheric,corrosion_high_temp,chemical_resistance_solvents,chemical_resistance_acids,chemical_resistance_alkalis,chemical_resistance_fuels,weldability,weldability_notes,joining_method,machinability_index,flammability,water_absorption_percent,uv_resistance,cost_class,approx_cost_usd_per_kg,availability,stock_forms,fatigue_rating,typical_applications,key_warnings,sources,description_text,stress_table_id
cs_1018_cd,Carbon Steel 1018 (Cold-Drawn),G10180,1018,carbon_steel_low,cold_drawn,370,440,15,126,NOT_FOUND,220,200,7850,400,-30,NOT_FOUND,1,1,2,2,2,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,4,Good weldability but cold-work near welds is annealed out. E7018 electrodes.,welding|mechanical_fastening|brazing,78,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,0.9-1.5,5,rod|bar|tube,3,"Precision shafts, machined parts, fasteners, hydraulic components, where tighter tolerances and better surface finish are needed.",Cold-drawn condition is lost in heat-affected zone after welding. Residual stresses may cause distortion during machining. Same corrosion issues as HR.,Shigley A-20|Cardarelli §1.1,"Carbon Steel 1018 (Cold-Drawn) is a carbon steel low with a yield strength of 370 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is good (4/5). Typical applications include: Precision shafts, machined parts, fasteners, hydraulic components, where tighter tolerances and better surface finish are needed. Key engineering considerations: Cold-drawn condition is lost in heat-affected zone after welding. Residual stresses may cause distortion during machining. Same corrosion issues as HR.",
cs_1040_hr,Carbon Steel 1040 (Hot-Rolled),G10400,1040,carbon_steel_medium,hot_rolled,290,520,18,149,NOT_FOUND,260,200,7850,425,-30,NOT_FOUND,1,1,2,2,2,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,4,Good weldability with E7018. Preheat 100-150 C for thick sections. PWHT recommended above 25mm.,welding|mechanical_fastening|brazing,60,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,0.8-1.5,5,sheet|plate|rod|bar|tube,4,"Shafts, axles, gears, crankshafts, connecting rods, machine components.",Rusts rapidly. Not for marine/chemical. Brittle below -30 C. Surface decarburization possible.,Shigley A-20|ASME BPVC II-D Table 1A|Cardarelli §1.1,"Carbon Steel 1040 (Hot-Rolled) is a carbon steel medium with a yield strength of 290 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is good (4/5). Typical applications include: Shafts, axles, gears, crankshafts, connecting rods, machine components. Key engineering considerations: Rusts rapidly. Not for marine/chemical. Brittle below -30 C. Surface decarburization possible.",1040_HR
cs_1050_qt425,Carbon Steel 1050 (Q&T at 425C),G10500,1050,carbon_steel_high,quenched_tempered_425C,793,1090,13,444,NOT_FOUND,450,200,7850,425,-20,NOT_FOUND,1,1,2,2,2,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,Poor weldability - high carbon. Preheat 200-300 C. PWHT mandatory. Low-hydrogen electrodes only.,welding|mechanical_fastening|brazing,45,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,1.0-2.0,4,rod|bar|plate,5,"Cutting blades, springs, knives, wear plates, hammers, axes, leaf springs.",Welding difficult and risky. Cracking without PWHT. Loses temper above 425 C. Hydrogen embrittlement during plating.,Shigley A-21|ASME BPVC II-D Table 1A|Cardarelli §1.1,"Carbon Steel 1050 (Q&T at 425C) is a carbon steel high with a yield strength of 793 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is fair (2/5). Typical applications include: Cutting blades, springs, knives, wear plates, hammers, axes, leaf springs. Key engineering considerations: Welding difficult and risky. Cracking without PWHT. Loses temper above 425 C. Hydrogen embrittlement during plating.",1050_QT425
cs_1095_annealed,Carbon Steel 1095 (Annealed),G10950,1095,carbon_steel_high,annealed,460,830,10,248,NOT_FOUND,380,200,7850,425,-20,NOT_FOUND,1,1,2,2,2,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,Essentially not weldable due to very high carbon (0.95%). Mechanical joining only.,welding|mechanical_fastening|brazing,40,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,1.0-2.5,3,rod|bar|wire|sheet,5,"Knife blades, springs, cutting tools, files, leaf springs, music wire.",Cannot be welded. Must be heat-treated for application use (typically Q&T). Highest hardness ability of plain carbon steels. Brittle if over-hardened.,Shigley A-20|Cardarelli §1.1,"Carbon Steel 1095 (Annealed) is a carbon steel high with a yield strength of 460 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is poor (1/5). Typical applications include: Knife blades, springs, cutting tools, files, leaf springs, music wire. Key engineering considerations: Cannot be welded. Must be heat-treated for application use (typically Q&T). Highest hardness ability of plain carbon steels. Brittle if over-hardened.",
cs_hsla_a36,HSLA Steel A36 (Structural),K02600,A36,carbon_steel_low,hot_rolled,250,400,23,119,NOT_FOUND,190,200,7850,425,-30,NOT_FOUND,1,1,2,2,2,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,Excellent weldability. E7018 electrodes. No preheat for sections up to 25mm.,welding|mechanical_fastening|brazing,65,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,0.8-1.2,5,plate|bar|beam|angle|channel,3,"Structural beams, bridges, buildings, machinery frames, general fabrication - most common structural steel.",Rusts rapidly - protective coating required. Low hardenability. Not suitable for elevated temperature service without analysis. Brittle below -30 C.,Kalpakjian Ch.3|ASME BPVC|Cardarelli §1.1,"HSLA Steel A36 (Structural) is a carbon steel low with a yield strength of 250 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is excellent (5/5). Typical applications include: Structural beams, bridges, buildings, machinery frames, general fabrication. Key engineering considerations: Rusts rapidly - protective coating required. Low hardenability. Not suitable for elevated temperature service without analysis. Brittle below -30 C.",
as_4130_qt540,Alloy Steel 4130 (Q&T at 540C),G41300,4130,alloy_steel,quenched_tempered_540C,910,1030,17,315,NOT_FOUND,500,200,7830,480,-50,NOT_FOUND,1,1,2,2,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,Weldable with care. Preheat 150-200 C. PWHT recommended. Use ER80S-D2. Aerospace TIG welded.,welding|mechanical_fastening|brazing,70,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,2.5-4.5,3,rod|bar|tube|sheet|plate,5,"Aerospace structural, motorcycle and bicycle frames, race car roll cages, aircraft tubing, high-strength shafts.",Used as 4140 substitute when better weldability needed. Hydrogen embrittlement during plating. SCC risk in chlorides.,Shigley A-21|Cardarelli §1.1,"Alloy Steel 4130 (Q&T at 540C) is an alloy steel with a yield strength of 910 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is moderate (3/5). Typical applications include: Aerospace structural, motorcycle and bicycle frames, race car roll cages, aircraft tubing, high-strength shafts. Key engineering considerations: Used as 4140 substitute when better weldability needed. Hydrogen embrittlement during plating. SCC risk in chlorides.",4130_QT540
as_4140_qt540,Alloy Steel 4140 (Q&T at 540C),G41400,4140,alloy_steel,quenched_tempered_540C,834,951,18,285,NOT_FOUND,475,200,7850,480,-40,NOT_FOUND,1,1,2,2,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,Limited weldability. Preheat 300-400 C mandatory. PWHT essential. Low-hydrogen electrodes only.,welding|mechanical_fastening|brazing,65,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,2.5-4.5,5,rod|bar|tube|plate|forging,5,"High-strength shafts, gears, axles, crankshafts, bolts, drilling components, gun barrels, machine spindles.",Most common high-strength alloy steel. Poor weldability. Hydrogen embrittlement during electroplating. SCC in H2S environments.,Shigley A-21|Cardarelli §1.1,"Alloy Steel 4140 (Q&T at 540C) is an alloy steel with a yield strength of 834 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is fair (2/5). Typical applications include: High-strength shafts, gears, axles, crankshafts, bolts, drilling components, gun barrels, machine spindles. Key engineering considerations: Most common high-strength alloy steel. Poor weldability. Hydrogen embrittlement during electroplating. SCC in H2S environments.",4140_QT540
as_4340_qt540,Alloy Steel 4340 (Q&T at 540C),G43400,4340,alloy_steel,quenched_tempered_540C,1080,1170,13,360,NOT_FOUND,560,200,7850,480,-50,NOT_FOUND,1,1,2,2,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,Poor weldability. Preheat 350-400 C. Strict PWHT required. Hydrogen control critical.,welding|mechanical_fastening|brazing,50,NOT_FOUND,NOT_FOUND,NOT_FOUND,4,4-7,3,rod|bar|forging|plate,5,"Aircraft landing gear, heavy-duty shafts, ordnance, high-stress forgings, gears under heavy load.",One of the highest hardenability steels. Hydrogen embrittlement extremely risky during plating - bake immediately. Very expensive vs 4140.,Shigley A-21|Cardarelli §1.1,"Alloy Steel 4340 (Q&T at 540C) is an alloy steel with a yield strength of 1080 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is fair (2/5). Typical applications include: Aircraft landing gear, heavy-duty shafts, ordnance, high-stress forgings, gears under heavy load. Key engineering considerations: One of the highest hardenability steels. Hydrogen embrittlement extremely risky during plating - bake immediately. Very expensive vs 4140.",
as_4140_normalized,Alloy Steel 4140 (Normalized),G41400,4140,alloy_steel,normalized,655,1020,18,302,NOT_FOUND,450,200,7850,480,-40,NOT_FOUND,1,1,2,2,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,Slightly better than Q&T 4140 for welding. Preheat 200-250 C. PWHT recommended.,welding|mechanical_fastening|brazing,60,NOT_FOUND,NOT_FOUND,NOT_FOUND,3,2.5-4.0,4,rod|bar|plate|forging,4,"Pre-machined stock that will be heat-treated later, large forgings where through-hardening is impractical, gear blanks.",Uniform grain structure but lower strength than Q&T. Often supplied normalized for further machining and final heat treatment by user.,Shigley A-21|Cardarelli §1.1,"Alloy Steel 4140 (Normalized) is an alloy steel with a yield strength of 655 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is moderate (3/5). Typical applications include: Pre-machined stock that will be heat-treated later, large forgings where through-hardening is impractical, gear blanks. Key engineering considerations: Uniform grain structure but lower strength than Q&T. Often supplied normalized for further machining and final heat treatment by user.",
ts_d2_hardened,Tool Steel D2 (Hardened & Tempered),T30402,D2,tool_steel,hardened_tempered_205C,1800,2100,2,600,NOT_FOUND,700,207,7700,480,0,NOT_FOUND,2,2,3,3,3,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,"Welding not normally done. If required, requires specialized procedures with intense preheat, controlled cooling, and full re-heat treatment.",welding|mechanical_fastening|brazing,30,NOT_FOUND,NOT_FOUND,NOT_FOUND,4,6-12,3,rod|bar|plate|forging,4,"Cold-work tooling, blanking dies, forming dies, slitter knives, thread rolling dies, shear blades, punches.",Brittle in hardened condition. Very low elongation - cannot deform. Must be machined before hardening. Susceptible to fracture under impact load.,Machinery's Handbook|Cardarelli §1.1.3|Kalpakjian Table 3.5,"Tool Steel D2 (Hardened & Tempered) is a tool steel with a yield strength of 1800 MPa. Corrosion resistance in seawater is fair (2/5), and weldability is poor (1/5). Typical applications include: Cold-work tooling, blanking dies, forming dies, slitter knives, thread rolling dies, shear blades, punches. Key engineering considerations: Brittle in hardened condition. Very low elongation - cannot deform. Must be machined before hardening. Susceptible to fracture under impact load.",
ts_a2_hardened,Tool Steel A2 (Hardened & Tempered),T30102,A2,tool_steel,hardened_tempered_205C,1620,1860,5,580,NOT_FOUND,650,207,7860,425,0,NOT_FOUND,1,1,2,2,2,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,Welding generally avoided. Requires full re-heat treatment after welding.,welding|mechanical_fastening|brazing,40,NOT_FOUND,NOT_FOUND,NOT_FOUND,4,5-10,4,rod|bar|plate,5,"Air-hardening tool steel for dies, punches, gauges, forming rolls, woodworking tools, master tools.",Brittle when hardened. Air hardening means minimal distortion - useful for complex shapes. Lower wear resistance than D2 but better toughness.,Machinery's Handbook|Cardarelli §1.1.3|Kalpakjian Table 3.5,"Tool Steel A2 (Hardened & Tempered) is a tool steel with a yield strength of 1620 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is poor (1/5). Typical applications include: Air-hardening tool steel for dies, punches, gauges, forming rolls, woodworking tools, master tools. Key engineering considerations: Brittle when hardened. Air hardening means minimal distortion - useful for complex shapes. Lower wear resistance than D2 but better toughness.",
ts_h13_hardened,Tool Steel H13 (Hot-Work Hardened),T20813,H13,tool_steel,hardened_tempered_550C,1200,1500,10,450,NOT_FOUND,550,215,7760,600,0,NOT_FOUND,1,1,2,2,4,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,1,Welding generally avoided. If required full re-heat treatment after welding.,welding|mechanical_fastening|brazing,35,NOT_FOUND,NOT_FOUND,NOT_FOUND,4,8-14,3,rod|bar|plate|forging,4,"Die casting dies, hot forging dies, extrusion tooling, plastic injection molds, aluminum die casting.",Excellent hot toughness and thermal fatigue resistance. Must be pre-heated before use to avoid thermal shock cracking. Check hardness regularly in hot service.,Kalpakjian Table 3.5-3.6|Machinery's Handbook|Cardarelli §1.1.3,"Tool Steel H13 (Hot-Work Hardened) is a tool steel with a yield strength of 1200 MPa. Corrosion resistance in seawater is poor (1/5), and weldability is poor (1/5). Typical applications include: Die casting dies, hot forging dies, extrusion tooling, plastic injection molds, aluminum die casting. Key engineering considerations: Excellent hot toughness and thermal fatigue resistance. Must be pre-heated before use to avoid thermal shock cracking.",
al_1100_o,Aluminum 1100 (Annealed),A91100,1100-O,aluminum_wrought,annealed,35,90,35,23,NOT_FOUND,35,69,2710,150,-200,NOT_FOUND,4,3,3,5,1,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,Excellent - TIG/MIG with ER1100 filler. No preheat. Highest weldability of all aluminums.,welding|mechanical_fastening|brazing,45,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,2-4,5,sheet|plate|rod|bar|wire|foil,1,"Sheet metal work, spun hollow parts, cooking utensils, chemical equipment, food packaging, decorative trim, heat exchangers.",Very low strength - not for structural applications. No true endurance limit. Work hardens rapidly. Good formability but poor strength is the tradeoff.,Kalpakjian Table 3.7-3.8|Cardarelli §2.1,"Aluminum 1100 (Annealed) is an aluminum wrought with a yield strength of 35 MPa. Corrosion resistance in seawater is good (4/5), and weldability is excellent (5/5). Typical applications include: Sheet metal work, spun hollow parts, cooking utensils, chemical equipment, food packaging. Key engineering considerations: Very low strength - not for structural applications. No true endurance limit. Work hardens rapidly.",
al_1100_h14,Aluminum 1100 (H14 Half-Hard),A91100,1100-H14,aluminum_wrought,H14_half_hard,120,125,12,32,NOT_FOUND,50,69,2710,150,-200,NOT_FOUND,4,3,3,5,1,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,Good weldability but HAZ softens back to annealed condition. Use ER1100 filler.,welding|mechanical_fastening|brazing,45,NOT_FOUND,NOT_FOUND,NOT_FOUND,2,2-4,5,sheet|plate|foil,2,"Sheet metal parts, fin stock, heat exchanger fins, packaging - where slightly higher strength than annealed is needed.",Cold work improves strength but reduces ductility. HAZ loses all cold-work strengthening. Same corrosion as 1100-O.,Kalpakjian Table 3.7|Cardarelli §2.1,"Aluminum 1100 (H14 Half-Hard) is an aluminum wrought with a yield strength of 120 MPa. Corrosion resistance in seawater is good (4/5), and weldability is excellent (5/5). Typical applications include: Sheet metal parts, fin stock, heat exchanger fins, packaging. Key engineering considerations: Cold work improves strength but reduces ductility. HAZ loses all cold-work strengthening.",
